LP.;ID;Nazwa;Rzeka;Szerokość geograficzna;Długość geograficzna;Wysokość n.p.m.
545;253190070;Prabuty;Nogat (52);53 44 22;19 12 54;100
546;253190220;LIDZBARK;Wel (286);53 15 16;19 49 27;140.0
547;253190260;OSTROWITE;Drwęca (28);53 25 12;19 16 27;101.0
548;253190310;Kuligi;Wel (286);53 25 51;19 41 28;96.0
549;253190360;Najmowo;Osa (296);53 18 30;19 19 36;104.0
550;253190370;Bągart;Elbląg (54);53 59 30;19 23 04;0.0
551;253190380;Lubstyn;Drwęca (28);53 31 39;19 50 44;200.0
552;253200080;Jemiołowo;Pasłęka (56);53 33 42;20 17 58;175.0
553;253210130;SZCZYTNO;Omulew (2654);53 34 37;21 00 44;160
554;253210170;ROZOGI;Szkwa (26518);53 29 29;21 22 46;130.0
555;253210180;PTAKI;Pisa (264);53 23 26;21 47 41;112.0
556;253210210;MYSZYNIEC;Rozoga (2652);53 23 04;21 21 01;120.0
557;253210220;DOBRYLAS;Pisa (264);53 17 47;21 49 38;104.0
558;253210260;ZARUZIE;Ruż (26516);53 08 51;21 48 09;87.0
559;253210280;DOBRYLAS;Pisa (264);53 17 07;21 51 53;102.0
560;253210290;PTAKI;Pisa (264);53 23 35;21 47 30;107.0
561;253210350;TYSZKI-WĄDOŁOWO;Skroda (26498);53 26 52;21 59 03;152.0
562;253210370;ŚWIĘTAJNO;Szkwa (26518);53 33 49;21 13 41;142.0
563;253210380;Turowo;Pisa (264);53 31 43;21 54 06;141.0
564;253220070;BIEBRZA;Ełk (2628);53 39 02;22 34 42;115
565;253220080;DĘBOWO;Biebrza (262);53 36 38;22 55 50;115
566;253220120;OSOWIEC;Biebrza (262);53 28 57;22 38 45;110.0
567;253220130;RADZIŁÓW;Wissa (26296);53 24 50;22 24 19;115
568;253220160;BURZYN;Biebrza (262);53 16 43;22 27 15;120.0
569;253220210;TYKOCIN;Narew (26);53 12 16;22 46 14;109.0
570;253220220;ZAWADY;Ślina (26194);53 09 25;22 40 24;110.0
571;253220270;JABŁONOWO-WYPYCHY;Narew (26);53 01 47;22 45 01;130
572;253220310;MOŃKI;Nereśl (2618);53 24 01;22 47 47;175.0
573;253220330;MARIANOWO II;Narew (26);53 12 43;22 06 21;138.0
574;253220360;Biernatki;Netta (2622);53 52 04;22 51 12;136.0
575;253220370;Sawino;Narew (26);53 10 08;22 51 53;118.0
576;253230020;RÓŻANYSTOK;Sidra (26214);53 38 07;23 24 05;160
577;253230030;JANÓW;Brzozówka (2624);53 27 35;23 13 46;161.0
578;253230060;JAŁÓWKA;Sokołda (26162);53 21 14;23 20 26;170.0
579;253230110;FASTY;Supraśl (2616);53 10 39;23 01 33;114.0
580;253230160;SUPRAŚL;Supraśl (2616);53 12 39;23 19 57;137.0
581;253230170;NOWOSIÓŁKI;Supraśl (2616);53 10 30;23 31 35;132
582;253230180;Drahle;Sokołda (26162);53 23 08;23 33 18;162.0
583;253230230;Zarzeczany;Supraśl (2616);53 06 06;23 41 04;146.0
584;254140010;Dziwnów;Morze Bałtyckie (0);54 01 20;14 43 54;3.0
585;254150050;Białogard;Parsęta (44);54 00 15;15 58 30;23.0
586;254150060;Gąski;Czerwona (454);54 14 17;15 55 02;8.0
587;254160020;Darłowo;Wieprza (46);54 25 60;16 22 06;12.0
588;254160030;Sławno;Wieprza (46);54 21 06;16 40 13;25.0
589;254160040;Jeżyczki;Wieprza (46);54 20 05;16 23 26;10.0
590;254160060;Sierakowo;Wieprza (46);54 12 59;16 30 59;50.0
591;254160080;Polanów;Wieprza (46);54 07 07;16 40 59;80.0
592;254160110;Miastko;Wieprza (46);54 00 56;16 58 49;160
593;254160130;Ciecholub;Wieprza (46);54 10 22;16 52 28;115.0
594;254160140;Kłanino;Parsęta (44);54 01 39;16 28 70;114.0
595;254170020;Smołdzino;Łupawa (474);54 40 02;17 12 06;4.0
596;254170040;Karżniczka;Łupawa (474);54 29 15;17 13 43;75.0
597;254170060;Mikorowo;Łeba (476);54 24 30;17 34 50;117.0
598;254170070;Bukowina;Łupawa (474);54 25 20;17 50 36;155.0
599;254170130;Niezabyszewo;Słupia (472);54 08 18;17 25 24;160
600;254170140;Kościerzyna;Wierzyca (298);54 07 43;17 57 43;190.0
601;254170190;Słupsk;Słupia (472);54 27 48;17 02 08;17.0
602;254170210;Borucino;Radunia (4868);54 15 13;17 59 30;
603;254170280;Struszewo;Słupia (472);54 10 44;17 21 26;131.0
604;254180010;Rozewie;Bałtyk (0);54 49 46;18 20 08;54
605;254180050;Wejherowo;Reda (478);54 35 54;18 16 13;22.0
606;254180060;Gdynia;Bałtyk (0);54 31 08;18 33 34;2
607;254180070;Tępcz;Łeba (476);54 30 27;18 02 20;178.0
608;254180090;Gdańsk-Rębiechowo;Morze Bałtyckie (0);54 22 16;18 29 12;146.0
609;254180130;Goręczyno;Radunia (4868);54 15 43;18 09 45;177.0
610;254180140;Ostrzyce-Brodnica Górna;Radunia (4868);54 16 28;18 05 29;213.0
611;254180260;Gdańsk-Port Północny;Bałtyk (0);54 23 59;18 41 52;2.0
612;254180270;Zelewo;Reda (478);54 37 23;18 04 31;43.0
613;254190020;Nowa Pasłęka;Zalew Wiślany (5119);54 25 34;19 44 49;2.0
614;254190050;Frombork;Zalew Wiślany (5119);54 21 37;19 40 38;2.0
615;254190070;Tolkmicko;Zalew Wiślany (5119);54 19 31;19 31 21;2
616;254190080;Pierzchały;Pasłęka (56);54 18 02;19 50 57;11
617;254190120;Kmiecin;Szkarpawa (514);54 11 16;19 09 50;0.0
618;254190160;Pasłęk;Wąska (5456);54 04 07;19 38 10;14.0
619;254190190;Elbląg;Elbląg (54);54 09 43;19 25 53;39.0
620;254190230;Rogity;Pasłęka (56);54 23 21;19 51 41;8.0
621;254200040;BARTOSZYCE;Łyna (584);54 14 25;20 47 52;59.0
622;254200050;Bornity;Wałsza (568);54 11 04;20 03 03;47.0
